"DateTime","Players","Average Players"
"2024-12-16 11:00:00",198514,317649
"2024-12-16 12:00:00",231397,317056
"2024-12-16 13:00:00",265048,316315
"2024-12-16 14:00:00",280649,315563
"2024-12-16 15:00:00",279706,314844
"2024-12-16 16:00:00",279873,314093
"2024-12-16 17:00:00",297328,313341
"2024-12-16 18:00:00",318074,312488
"2024-12-16 19:00:00",338976,311415
"2024-12-16 20:00:00",355976,310282
"2024-12-16 21:00:00",356588,308985
"2024-12-16 22:00:00",354290,307770
"2024-12-16 23:00:00",349726,306734
"2024-12-17 00:00:00",375544,305929
"2024-12-17 01:00:00",406082,305396
"2024-12-17 02:00:00",420236,304856
"2024-12-17 03:00:00",418832,304302
"2024-12-17 04:00:00",397244,303786
"2024-12-17 05:00:00",358010,303344
"2024-12-17 06:00:00",305280,303071
"2024-12-17 07:00:00",254435,302846
"2024-12-17 08:00:00",217256,302636
"2024-12-17 09:00:00",191148,302396
"2024-12-17 10:00:00",178787,302137
"2024-12-17 11:00:00",195655,301846
"2024-12-17 12:00:00",225920,301476
"2024-12-17 13:00:00",260223,301050
"2024-12-17 14:00:00",277353,300600
"2024-12-17 15:00:00",276678,300142
"2024-12-17 16:00:00",277788,299702
"2024-12-17 17:00:00",294043,299277
"2024-12-17 18:00:00",310088,298672
"2024-12-17 19:00:00",327270,298087
"2024-12-17 20:00:00",339420,297559
"2024-12-17 21:00:00",339387,297094
"2024-12-17 22:00:00",336943,296643
"2024-12-17 23:00:00",330039,296212
"2024-12-18 00:00:00",361377,295848
"2024-12-18 01:00:00",389447,295112
"2024-12-18 02:00:00",402705,294518
"2024-12-18 03:00:00",402173,294141
"2024-12-18 04:00:00",383296,293797
"2024-12-18 05:00:00",349073,293633
"2024-12-18 06:00:00",297705,293471
"2024-12-18 07:00:00",247305,293328
"2024-12-18 08:00:00",209501,293239
"2024-12-18 09:00:00",183120,293185
"2024-12-18 10:00:00",170097,293063
"2024-12-18 11:00:00",185235,292720
"2024-12-18 12:00:00",213546,292398
"2024-12-18 13:00:00",246539,292042
"2024-12-18 14:00:00",263268,291652
"2024-12-18 15:00:00",262840,291296
"2024-12-18 16:00:00",264792,290996
"2024-12-18 17:00:00",276808,290744
"2024-12-18 18:00:00",294711,290544
"2024-12-18 19:00:00",315374,290251
"2024-12-18 20:00:00",329785,289942
"2024-12-18 21:00:00",330254,289687
"2024-12-18 22:00:00",329312,289793
"2024-12-18 23:00:00",322684,289840
"2024-12-19 00:00:00",342878,289553
"2024-12-19 01:00:00",375849,289079
"2024-12-19 02:00:00",395880,288512
"2024-12-19 03:00:00",395493,287923
"2024-12-19 04:00:00",380697,287412
"2024-12-19 05:00:00",346073,287030
"2024-12-19 06:00:00",295210,286918
"2024-12-19 07:00:00",246789,286991
"2024-12-19 08:00:00",210309,287129
"2024-12-19 09:00:00",181916,287403
"2024-12-19 10:00:00",162302,287452
"2024-12-19 11:00:00",178883,287702
"2024-12-19 12:00:00",206573,287904
"2024-12-19 13:00:00",238654,288030
"2024-12-19 14:00:00",256392,288236
"2024-12-19 15:00:00",257573,288704
"2024-12-19 16:00:00",262793,289428
"2024-12-19 17:00:00",275865,290157
"2024-12-19 18:00:00",289352,290685
"2024-12-19 19:00:00",308567,291094
"2024-12-19 20:00:00",324625,291483
"2024-12-19 21:00:00",336672,292152
"2024-12-19 22:00:00",333667,292775
"2024-12-19 23:00:00",320364,293421
"2024-12-20 00:00:00",332246,294453
